FBgn0261108 	ATG13_DROME
FBgn0039213 	ATLAS_DROME
FBgn0010433 	ATO_DROME
FBgn0002921 	ATNA_DROME
FBgn0019644 	AT5F1_DROME
FBgn0010217 	ATPB_DROME
FBgn0016119 	ATP5J_DROME
FBgn0016120 	ATP5H_DROME
FBgn0020235 	ATPG_DROME
FBgn0016691 	ATPO_DROME
FBgn0012042 	ATTA_DROME
FBgn0041581 	ATTB_DROME
FBgn0041579 	ATTC_DROME
FBgn0019637 	ATU_DROME
FBgn0041188 	ATX2_DROME
FBgn0000146 	AUB_DROME
FBgn0050476 	AVE_DROME
FBgn0000150 	NDKA_DROME
FBgn0013751 	AWH_DROME
FBgn0026597 	AXN_DROME
FBgn0004587 	SRR55_DROME
FBgn0004870 	BAB1_DROME
FBgn0025525 	BAB2_DROME
FBgn0031977 	BAF_DROME
FBgn0045866 	TMEDA_DROME
FBgn0027889 	NHK1_DROME
FBgn0000158 	BAM_DROME
FBgn0004862 	BAGP_DROME
FBgn0025463 	BAP60_DROME
FBgn0031571 	BARK_DROME
FBgn0033578 	BBS4_DROME
FBgn0000166 	BCD_DROME
FBgn0013432 	BCN92_DROME
FBgn0028482 	BDL_DROME
FBgn0036691 	FABD_DROME
FBgn0263231 	DDX3_DROME
FBgn0000173 	UBE2N_DROME
FBgn0008635 	COPB_DROME
FBgn0025724 	COPB2_DROME
FBgn0039175 	SYFB_DROME
FBgn0250788 	SPTCB_DROME
FBgn0010357 	TRYB_DROME
FBgn0003887 	TBB1_DROME
FBgn0003888 	TBB3_DROME
FBgn0003889 	TBB2_DROME
FBgn0013753 	BGB_DROME
FBgn0004581 	BGCN_DROME
FBgn0027348 	BGM_DROME
FBgn0011758 	BARH1_DROME
FBgn0004854 	BARH2_DROME
FBgn0000179 	OMB_DROME
FBgn0035871 	BI1_DROME
FBgn0000180 	BIB_DROME
FBgn0000182 	BICC_DROME
FBgn0000183 	BICD_DROME
FBgn0045759 	FOXF_DROME
FBgn0024491 	SAP18_DROME
FBgn0263144 	BN3D1_DROME
FBgn0002906 	BLM_DROME
FBgn0050077 	BL1S1_DROME
FBgn0036118 	BL1S2_DROME
FBgn0085284 	BL1S3_DROME
FBgn0036105 	BL1S4_DROME
FBgn0038387 	TIM16_DROME
FBgn0011211 	ATPA_DROME
FBgn0001090 	BNB_DROME
FBgn0004389 	BNK_DROME
FBgn0004132 	MESD_DROME
FBgn0037719 	BOCKS_DROME
FBgn0011206 	BOULE_DROME
FBgn0026261 	RT15_DROME
FBgn0259791 	BORA_DROME
FBgn0032105 	BOREA_DROME
FBgn0000206 	BOSS_DROME
FBgn0027535 	EXT3_DROME
FBgn0004893 	BOWEL_DROME
FBgn0037205 	BOYB_DROME
FBgn0283451 	BRC1_DROME
FBgn0010300 	BRAT_DROME
FBgn0050169 	BRCA2_DROME
FBgn0086694 	BRE1_DROME
FBgn0000212 	BRM_DROME
FBgn0000221 	BRN_DROME
FBgn0013755 	BRO_DROME
FBgn0261787 	BRU_DROME
FBgn0004101 	SRF_DROME
FBgn0000227 	ELBA1_DROME
FBgn0000228 	BSG2_DROME
FBgn0000529 	BSH_DROME
FBgn0000229 	JNK_DROME
FBgn0044506 	RTBS_DROME
FBgn0000233 	BTD_DROME
FBgn0030501 	BTHD_DROME
FBgn0003502 	BTKL_DROME
FBgn0005592 	FGFR2_DROME
FBgn0032248 	CFA20_DROME
FBgn0259176 	BUN1_DROME
FBgn0038901 	BURS_DROME
FBgn0000241 	BROWN_DROME
FBgn0045064 	ACASE_DROME
FBgn0004856 	BX42_DROME
FBgn0011723 	BYN_DROME
FBgn0010292 	BYS_DROME
FBgn0032078 	C1GLT_DROME
FBgn0259228 	C3G_DROME
FBgn0040235 	CWC15_DROME
FBgn0001991 	CAC1D_DROME
FBgn0263111 	CAC1A_DROME
FBgn0000250 	CACT_DROME
FBgn0031114 	CATIN_DROME
FBgn0000251 	CAD_DROME
FBgn0261053 	CAD86_DROME
FBgn0037963 	CAD87_DROME
FBgn0038439 	CAD89_DROME
FBgn0022800 	CAD96_DROME
FBgn0015609 	CADN_DROME
FBgn0262018 	CADN2_DROME
FBgn0053653 	CAPS_DROME
FBgn0263979 	CAF1_DROME
FBgn0012051 	CANA_DROME
FBgn0025866 	CANB_DROME
FBgn0260450 	CANC_DROME
FBgn0039928 	CSTN1_DROME
FBgn0262166 	CALYP_DROME
FBgn0000253 	CALM_DROME
FBgn0264607 	KCC2A_DROME
FBgn0010015 	PP2B1_DROME
FBgn0267912 	PP2B3_DROME
FBgn0010014 	CANB1_DROME
FBgn0015614 	CANB2_DROME
FBgn0027568 	CAND1_DROME
FBgn0263006 	ATC1_DROME
